Installation,Taux occupation civières(%),Nombre de civières fonctionnelles,Nombre de patients sur civière,Nombre de patients sur civière +24h,Nombre de patients sur civière +48h,Nombre patients arrivés en ambulance,Nombre inscriptions,Nombre inscriptions avec SAG,date
Hôpital de LaSalle,60,15,9,4,2,14,45,0,2020-03-31
Hôpital Douglas,67,6,4,0,0,0,12,0,2020-03-31
Hôpital général du Lakeshore,55,31,17,1,0,20,69,0,2020-03-31
L'Hôpital général juif Sir Mortimer B. Davis,36,53,19,2,0,34,99,6,2020-03-31
Hôpital de Verdun,62,26,16,1,0,22,85,0,2020-03-31
Hôpital Notre-Dame,69,35,24,7,2,40,70,0,2020-03-31
Hôpital du Sacré-Coeur de Montréal,33,46,15,2,0,29,102,0,2020-03-31
Hôpital Fleury,39,18,7,0,0,21,59,0,2020-03-31
Hôpital Jean-Talon,55,22,12,0,0,20,69,0,2020-03-31
Pavillon Albert-Prévost,23,13,3,0,0,0,10,0,2020-03-31
Hôpital de Lachine,57,14,8,0,0,5,22,0,2020-03-31
Hôpital général de Montréal,71,31,22,1,0,33,59,0,2020-03-31
Hôpital Royal Victoria,103,33,34,8,0,21,71,2,2020-03-31
L'hôpital de Montréal pour enfants,42,12,5,0,0,5,54,3,2020-03-31
Institut de cardiologie de Montréal,32,22,7,0,0,4,34,0,2020-03-31
CHU Sainte-Justine,25,16,4,0,0,7,60,7,2020-04-01
Centre hospitalier de l'Université de Montréal,69,51,35,1,0,37,99,0,2020-04-01
Hôpital Louis-H. Lafontaine,25,12,3,2,2,2,10,0,2020-04-01
Hôpital Santa Cabrini,61,38,23,3,2,39,76,0,2020-04-01
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,70,54,38,1,0,50,137,0,2020-04-01
Centre hospitalier de St. Mary,64,22,14,1,1,18,69,0,2020-04-01
Hôpital de LaSalle,93,15,14,3,3,10,39,0,2020-04-01
Hôpital Douglas,167,6,10,2,0,0,12,0,2020-04-01
Hôpital général du Lakeshore,52,31,16,0,0,24,61,0,2020-04-01
L'Hôpital général juif Sir Mortimer B. Davis,38,53,20,2,0,36,107,8,2020-04-01
Hôpital de Verdun,73,26,19,0,0,9,65,0,2020-04-01
Hôpital Notre-Dame,74,35,26,6,3,42,73,0,2020-04-01
Hôpital du Sacré-Coeur de Montréal,48,46,22,2,0,28,82,0,2020-04-01
Hôpital Fleury,67,18,12,0,0,18,47,0,2020-04-01
Hôpital Jean-Talon,50,22,11,0,0,23,55,1,2020-04-01
Pavillon Albert-Prévost,46,13,6,0,0,1,11,0,2020-04-01
Hôpital de Lachine,36,14,5,3,0,12,33,0,2020-04-01
Hôpital général de Montréal,55,31,17,2,0,25,60,1,2020-04-01
Hôpital Royal Victoria,100,33,33,15,3,20,65,1,2020-04-01
L'hôpital de Montréal pour enfants,33,12,4,0,0,2,61,2,2020-04-01
Institut de cardiologie de Montréal,41,22,9,3,0,0,36,0,2020-04-01
CHU Sainte-Justine,25,16,4,0,0,3,67,10,2020-04-02
Centre hospitalier de l'Université de Montréal,75,51,38,3,0,46,115,0,2020-04-02
Hôpital Louis-H. Lafontaine,25,12,3,2,1,0,6,0,2020-04-02
Hôpital Santa Cabrini,71,38,27,4,1,36,69,0,2020-04-02
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,46,54,25,3,0,43,107,0,2020-04-02
Centre hospitalier de St. Mary,91,22,20,3,0,20,63,1,2020-04-02
Hôpital de LaSalle,60,15,9,2,0,12,38,0,2020-04-02
Hôpital Douglas,17,6,1,0,0,1,9,0,2020-04-02
Hôpital général du Lakeshore,71,31,22,1,0,25,78,0,2020-04-02
L'Hôpital général juif Sir Mortimer B. Davis,40,53,21,0,0,39,108,17,2020-04-02
Hôpital de Verdun,81,26,21,1,0,30,85,0,2020-04-02
Hôpital Notre-Dame,54,35,19,6,1,36,74,0,2020-04-02
Hôpital du Sacré-Coeur de Montréal,52,46,24,1,0,33,103,1,2020-04-02
Hôpital Fleury,56,18,10,0,0,23,48,0,2020-04-02
Hôpital Jean-Talon,59,22,13,1,0,21,52,0,2020-04-02
Pavillon Albert-Prévost,15,13,2,0,0,1,7,0,2020-04-02
Hôpital de Lachine,57,14,8,0,0,12,24,0,2020-04-02
Hôpital général de Montréal,68,31,21,2,0,26,44,1,2020-04-02
Hôpital Royal Victoria,73,33,24,7,5,20,68,0,2020-04-02
L'hôpital de Montréal pour enfants,8,12,1,0,0,3,46,0,2020-04-02
Institut de cardiologie de Montréal,36,22,8,1,0,2,40,0,2020-04-02
CHU Sainte-Justine,0,16,0,0,0,10,64,11,2020-04-03
Centre hospitalier de l'Université de Montréal,45,51,23,1,0,37,96,0,2020-04-03
Hôpital Louis-H. Lafontaine,8,12,1,0,0,0,6,0,2020-04-03
Hôpital Santa Cabrini,71,38,27,7,2,35,66,0,2020-04-03
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,63,54,34,0,0,51,123,2,2020-04-03
Centre hospitalier de St. Mary,64,22,14,2,1,18,61,0,2020-04-03
Hôpital de LaSalle,33,15,5,1,0,10,45,0,2020-04-03
Hôpital Douglas,0,6,0,0,0,0,4,0,2020-04-03
Hôpital général du Lakeshore,74,31,23,3,0,23,56,0,2020-04-03
L'Hôpital général juif Sir Mortimer B. Davis,51,53,27,2,0,29,91,6,2020-04-03
Hôpital de Verdun,65,26,17,1,0,31,81,0,2020-04-03
Hôpital Notre-Dame,63,35,22,6,2,39,81,0,2020-04-03
Hôpital du Sacré-Coeur de Montréal,48,46,22,2,1,36,93,0,2020-04-03
Hôpital Fleury,94,18,17,1,0,17,51,0,2020-04-03
Hôpital Jean-Talon,68,22,15,0,0,19,83,0,2020-04-03
Pavillon Albert-Prévost,38,13,5,2,0,1,8,0,2020-04-03
Hôpital de Lachine,50,14,7,0,0,7,23,0,2020-04-03
Hôpital général de Montréal,52,31,16,0,0,27,50,1,2020-04-03
Hôpital Royal Victoria,52,33,17,1,0,21,74,2,2020-04-03
L'hôpital de Montréal pour enfants,8,12,1,0,0,2,34,1,2020-04-03
Institut de cardiologie de Montréal,27,22,6,1,0,2,35,0,2020-04-03
CHU Sainte-Justine,6,16,1,0,0,4,69,10,2020-04-04
Centre hospitalier de l'Université de Montréal,47,51,24,1,0,40,102,0,2020-04-04
Hôpital Louis-H. Lafontaine,17,12,2,0,0,1,6,0,2020-04-04
Hôpital Santa Cabrini,63,38,24,5,1,30,50,0,2020-04-04
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,98,54,53,2,0,43,116,3,2020-04-04
Centre hospitalier de St. Mary,55,22,12,1,0,22,53,1,2020-04-04
Hôpital de LaSalle,73,15,11,3,1,10,40,0,2020-04-04
Hôpital Douglas,67,6,4,0,0,2,10,0,2020-04-04
Hôpital général du Lakeshore,68,31,21,2,0,22,67,0,2020-04-04
L'Hôpital général juif Sir Mortimer B. Davis,38,53,20,1,0,33,99,8,2020-04-04
Hôpital de Verdun,88,26,23,3,0,27,59,0,2020-04-04
Hôpital Notre-Dame,74,35,26,4,1,31,67,0,2020-04-04
Hôpital du Sacré-Coeur de Montréal,52,46,24,6,0,25,84,1,2020-04-04
Hôpital Fleury,50,18,9,1,0,18,44,0,2020-04-04
Hôpital Jean-Talon,32,22,7,2,0,18,52,3,2020-04-04
Pavillon Albert-Prévost,0,13,0,0,0,1,6,0,2020-04-04
Hôpital de Lachine,57,14,8,1,0,11,21,0,2020-04-04
Hôpital général de Montréal,45,31,14,1,0,30,48,1,2020-04-04
Hôpital Royal Victoria,82,33,27,9,1,18,53,0,2020-04-04
L'hôpital de Montréal pour enfants,0,12,0,0,0,4,39,1,2020-04-04
Institut de cardiologie de Montréal,45,22,10,1,0,4,27,0,2020-04-04
CHU Sainte-Justine,0,16,0,0,0,5,52,7,2020-04-05
Centre hospitalier de l'Université de Montréal,39,51,20,3,0,36,95,0,2020-04-05
Hôpital Louis-H. Lafontaine,25,12,3,1,0,0,5,0,2020-04-05
Hôpital Santa Cabrini,79,38,30,9,1,36,73,0,2020-04-05
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,65,54,35,4,0,35,98,1,2020-04-05
Centre hospitalier de St. Mary,41,22,9,0,0,22,57,0,2020-04-05
Hôpital de LaSalle,60,15,9,3,2,7,31,0,2020-04-05
Hôpital Douglas,133,6,8,4,0,3,9,0,2020-04-05
Hôpital général du Lakeshore,45,31,14,1,0,16,48,0,2020-04-05
L'Hôpital général juif Sir Mortimer B. Davis,38,53,20,1,0,26,88,4,2020-04-05
Hôpital de Verdun,108,26,28,1,0,25,74,2,2020-04-05
Hôpital Notre-Dame,77,35,27,7,1,34,61,0,2020-04-05
Hôpital du Sacré-Coeur de Montréal,59,46,27,8,3,28,89,0,2020-04-05
Hôpital Fleury,39,18,7,1,0,17,37,0,2020-04-05
Hôpital Jean-Talon,41,22,9,1,0,18,48,0,2020-04-05
Pavillon Albert-Prévost,31,13,4,0,0,1,6,0,2020-04-05
Hôpital de Lachine,36,14,5,0,0,10,24,0,2020-04-05
Hôpital général de Montréal,39,31,12,0,0,26,47,1,2020-04-05
Hôpital Royal Victoria,103,33,34,10,0,19,57,0,2020-04-05
L'hôpital de Montréal pour enfants,8,12,1,0,0,2,45,2,2020-04-05
Institut de cardiologie de Montréal,23,22,5,1,0,0,24,0,2020-04-05
CHU Sainte-Justine,25,16,4,0,0,4,61,6,2020-04-06
Centre hospitalier de l'Université de Montréal,45,51,23,0,0,47,125,0,2020-04-06
Hôpital Louis-H. Lafontaine,50,12,6,2,1,0,9,0,2020-04-06
Hôpital Santa Cabrini,71,38,27,7,2,40,73,0,2020-04-06
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,83,54,45,4,0,47,114,1,2020-04-06
Centre hospitalier de St. Mary,50,22,11,0,0,18,68,0,2020-04-06
Hôpital de LaSalle,47,15,7,2,0,10,46,0,2020-04-06
Hôpital Douglas,100,6,6,0,0,1,8,0,2020-04-06
Hôpital général du Lakeshore,90,31,28,1,0,23,79,0,2020-04-06
L'Hôpital général juif Sir Mortimer B. Davis,30,53,16,1,0,32,106,2,2020-04-06
Hôpital de Verdun,77,26,20,0,0,26,83,0,2020-04-06
Hôpital Notre-Dame,80,35,28,1,1,38,84,0,2020-04-06
Hôpital du Sacré-Coeur de Montréal,54,46,25,3,1,24,89,0,2020-04-06
Hôpital Fleury,33,18,6,0,0,19,53,1,2020-04-06
Hôpital Jean-Talon,41,22,9,1,0,19,59,0,2020-04-06
Pavillon Albert-Prévost,46,13,6,3,0,0,6,0,2020-04-06
Hôpital de Lachine,50,14,7,1,0,9,25,0,2020-04-06
Hôpital général de Montréal,55,31,17,1,0,26,56,2,2020-04-06
Hôpital Royal Victoria,61,33,20,6,0,20,85,1,2020-04-06
L'hôpital de Montréal pour enfants,25,12,3,0,0,1,44,0,2020-04-06
Institut de cardiologie de Montréal,41,22,9,1,0,0,29,0,2020-04-06
CHU Sainte-Justine,6,16,1,0,0,9,60,3,2020-04-07
Centre hospitalier de l'Université de Montréal,51,51,26,2,0,37,111,0,2020-04-07
Hôpital Louis-H. Lafontaine,50,12,6,3,0,3,11,0,2020-04-07
Hôpital Santa Cabrini,100,38,38,6,1,34,73,0,2020-04-07
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,87,54,47,4,0,51,131,3,2020-04-07
Centre hospitalier de St. Mary,50,22,11,0,0,18,69,0,2020-04-07
Hôpital de LaSalle,33,15,5,1,1,11,43,0,2020-04-07
Hôpital Douglas,117,6,7,3,0,1,10,0,2020-04-07
Hôpital général du Lakeshore,52,31,16,3,0,24,82,0,2020-04-07
L'Hôpital général juif Sir Mortimer B. Davis,42,53,22,0,0,33,83,4,2020-04-07
Hôpital de Verdun,85,26,22,1,0,19,75,0,2020-04-07
Hôpital Notre-Dame,77,35,27,11,1,34,71,0,2020-04-07
Hôpital du Sacré-Coeur de Montréal,22,46,10,1,0,37,96,0,2020-04-07
Hôpital Fleury,56,18,10,1,0,17,54,0,2020-04-07
Hôpital Jean-Talon,36,22,8,0,0,20,67,0,2020-04-07
Pavillon Albert-Prévost,23,13,3,0,0,0,7,0,2020-04-07
Hôpital de Lachine,79,14,11,0,0,8,27,0,2020-04-07
Hôpital général de Montréal,35,31,11,2,0,21,49,0,2020-04-07
Hôpital Royal Victoria,67,33,22,4,0,20,51,1,2020-04-07
L'hôpital de Montréal pour enfants,67,12,8,0,0,1,68,0,2020-04-07
Institut de cardiologie de Montréal,41,22,9,2,0,5,37,0,2020-04-07
CHU Sainte-Justine,19,16,3,0,0,3,74,9,2020-04-08
Centre hospitalier de l'Université de Montréal,49,51,25,0,0,43,129,0,2020-04-08
Hôpital Louis-H. Lafontaine,58,12,7,3,1,1,12,0,2020-04-08
Hôpital Santa Cabrini,76,38,29,8,2,33,63,0,2020-04-08
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,69,54,37,6,0,56,132,1,2020-04-08
Centre hospitalier de St. Mary,45,22,10,0,0,16,62,0,2020-04-08
Hôpital de LaSalle,93,15,14,0,0,10,44,0,2020-04-08
Hôpital Douglas,83,6,5,2,0,2,5,0,2020-04-08
Hôpital général du Lakeshore,48,31,15,0,0,18,62,0,2020-04-08
L'Hôpital général juif Sir Mortimer B. Davis,36,53,19,2,0,25,95,4,2020-04-08
Hôpital de Verdun,69,26,18,1,0,31,94,0,2020-04-08
Hôpital Notre-Dame,60,35,21,6,2,36,77,0,2020-04-08
Hôpital du Sacré-Coeur de Montréal,43,46,20,1,0,33,96,0,2020-04-08
Hôpital Fleury,50,18,9,1,0,16,57,0,2020-04-08
Hôpital Jean-Talon,36,22,8,0,0,16,62,0,2020-04-08
Pavillon Albert-Prévost,62,13,8,1,0,1,7,0,2020-04-08
Hôpital de Lachine,50,14,7,0,0,15,31,0,2020-04-08
Hôpital général de Montréal,32,31,10,0,0,16,54,1,2020-04-08
Hôpital Royal Victoria,67,33,22,0,0,16,78,2,2020-04-08
L'hôpital de Montréal pour enfants,8,12,1,0,0,5,51,0,2020-04-08
Institut de cardiologie de Montréal,32,22,7,2,1,0,37,0,2020-04-08
CHU Sainte-Justine,12,16,2,0,0,7,60,7,2020-04-09
Centre hospitalier de l'Université de Montréal,55,51,28,0,0,29,120,0,2020-04-09
Hôpital Louis-H. Lafontaine,33,12,4,0,0,5,11,0,2020-04-09
Hôpital Santa Cabrini,55,38,21,7,2,29,67,0,2020-04-09
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,72,54,39,11,1,41,133,1,2020-04-09
Centre hospitalier de St. Mary,41,22,9,1,0,20,51,1,2020-04-09
Hôpital de LaSalle,53,15,8,3,0,10,39,0,2020-04-09
Hôpital Douglas,167,6,10,1,0,3,13,0,2020-04-09
Hôpital général du Lakeshore,65,31,20,0,0,18,66,0,2020-04-09
L'Hôpital général juif Sir Mortimer B. Davis,32,53,17,0,0,30,91,2,2020-04-09
Hôpital de Verdun,88,26,23,2,0,19,79,0,2020-04-09
Hôpital Notre-Dame,60,35,21,3,3,29,73,0,2020-04-09
Hôpital du Sacré-Coeur de Montréal,39,46,18,2,0,22,100,0,2020-04-09
Hôpital Fleury,56,18,10,2,0,17,49,0,2020-04-09
Hôpital Jean-Talon,45,22,10,0,0,19,50,0,2020-04-09
Pavillon Albert-Prévost,38,13,5,3,0,0,6,0,2020-04-09
Hôpital de Lachine,86,14,12,2,0,10,30,0,2020-04-09
Hôpital général de Montréal,42,31,13,0,0,21,53,1,2020-04-09
Hôpital Royal Victoria,61,33,20,0,0,16,74,1,2020-04-09
L'hôpital de Montréal pour enfants,17,12,2,0,0,3,46,0,2020-04-09
Institut de cardiologie de Montréal,41,22,9,1,0,2,32,0,2020-04-09
CHU Sainte-Justine,19,16,3,0,0,3,64,5,2020-04-10
Centre hospitalier de l'Université de Montréal,47,51,24,1,0,33,104,0,2020-04-10
Hôpital Louis-H. Lafontaine,25,12,3,0,0,4,9,0,2020-04-10
Hôpital Santa Cabrini,61,38,23,4,1,31,68,0,2020-04-10
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,67,54,36,6,0,44,121,1,2020-04-10
Centre hospitalier de St. Mary,91,22,20,2,1,8,53,0,2020-04-10
Hôpital de LaSalle,73,15,11,1,0,12,33,0,2020-04-10
Hôpital Douglas,167,6,10,7,0,3,8,0,2020-04-10
Hôpital général du Lakeshore,45,31,14,0,0,21,71,0,2020-04-10
L'Hôpital général juif Sir Mortimer B. Davis,40,53,21,2,0,31,94,0,2020-04-10
Hôpital de Verdun,58,26,15,0,0,28,72,0,2020-04-10
Hôpital Notre-Dame,77,35,27,6,3,34,78,0,2020-04-10
Hôpital du Sacré-Coeur de Montréal,46,46,21,1,0,27,103,0,2020-04-10
Hôpital Fleury,56,18,10,0,0,16,57,0,2020-04-10
Hôpital Jean-Talon,55,22,12,0,0,20,56,0,2020-04-10
Pavillon Albert-Prévost,15,13,2,0,0,0,3,0,2020-04-10
Hôpital de Lachine,50,14,7,0,0,5,18,0,2020-04-10
Hôpital général de Montréal,32,31,10,0,0,23,46,0,2020-04-10
Hôpital Royal Victoria,82,33,27,4,0,18,77,2,2020-04-10
L'hôpital de Montréal pour enfants,17,12,2,0,0,4,54,1,2020-04-10
Institut de cardiologie de Montréal,50,22,11,1,0,1,28,0,2020-04-10
CHU Sainte-Justine,25,16,4,0,0,3,83,6,2020-04-11
Centre hospitalier de l'Université de Montréal,39,51,20,0,0,31,96,0,2020-04-11
Hôpital Louis-H. Lafontaine,58,12,7,2,0,1,10,0,2020-04-11
Hôpital Santa Cabrini,66,38,25,5,1,32,62,0,2020-04-11
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,76,54,41,7,0,44,115,0,2020-04-11
Centre hospitalier de St. Mary,91,22,20,2,1,19,59,1,2020-04-11
Hôpital de LaSalle,93,15,14,2,0,11,31,0,2020-04-11
Hôpital Douglas,200,6,12,7,6,1,10,0,2020-04-11
Hôpital général du Lakeshore,45,31,14,2,0,17,76,0,2020-04-11
L'Hôpital général juif Sir Mortimer B. Davis,49,53,26,1,0,30,86,0,2020-04-11
Hôpital de Verdun,73,26,19,0,0,22,66,0,2020-04-11
Hôpital Notre-Dame,57,35,20,3,2,35,58,0,2020-04-11
Hôpital du Sacré-Coeur de Montréal,57,46,26,1,0,19,100,1,2020-04-11
Hôpital Fleury,50,18,9,0,0,19,38,0,2020-04-11
Hôpital Jean-Talon,55,22,12,0,0,18,57,0,2020-04-11
Pavillon Albert-Prévost,0,13,0,0,0,1,4,0,2020-04-11
Hôpital de Lachine,57,14,8,2,0,9,21,0,2020-04-11
Hôpital général de Montréal,39,31,12,1,0,22,41,3,2020-04-11
Hôpital Royal Victoria,67,33,22,2,0,21,76,0,2020-04-11
L'hôpital de Montréal pour enfants,33,12,4,0,0,0,56,0,2020-04-11
Institut de cardiologie de Montréal,32,22,7,1,0,1,25,0,2020-04-11
CHU Sainte-Justine,25,16,4,0,0,2,64,4,2020-04-12
Centre hospitalier de l'Université de Montréal,41,51,21,5,0,24,84,0,2020-04-12
Hôpital Louis-H. Lafontaine,25,12,3,2,0,0,3,0,2020-04-12
Hôpital Santa Cabrini,82,38,31,9,1,31,69,0,2020-04-12
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,74,54,40,4,0,43,107,1,2020-04-12
Centre hospitalier de St. Mary,73,22,16,2,0,21,49,2,2020-04-12
Hôpital de LaSalle,60,15,9,2,0,10,34,0,2020-04-12
Hôpital Douglas,167,6,10,5,2,1,9,0,2020-04-12
Hôpital général du Lakeshore,68,31,21,1,0,18,64,0,2020-04-12
L'Hôpital général juif Sir Mortimer B. Davis,53,53,28,1,0,29,87,0,2020-04-12
Hôpital de Verdun,54,26,14,0,0,27,74,0,2020-04-12
Hôpital Notre-Dame,60,35,21,4,2,31,71,0,2020-04-12
Hôpital du Sacré-Coeur de Montréal,30,46,14,1,0,25,80,0,2020-04-12
Hôpital Fleury,89,18,16,0,0,19,44,0,2020-04-12
Hôpital Jean-Talon,27,22,6,0,0,17,54,1,2020-04-12
Pavillon Albert-Prévost,8,13,1,0,0,1,4,0,2020-04-12
Hôpital de Lachine,79,14,11,2,0,11,25,0,2020-04-12
Hôpital général de Montréal,45,31,14,0,0,20,44,3,2020-04-12
Hôpital Royal Victoria,70,33,23,5,0,15,64,3,2020-04-12
L'hôpital de Montréal pour enfants,17,12,2,0,0,2,47,1,2020-04-12
Institut de cardiologie de Montréal,32,22,7,3,1,0,31,0,2020-04-12
CHU Sainte-Justine,19,16,3,0,0,6,73,12,2020-04-13
Centre hospitalier de l'Université de Montréal,61,51,31,2,1,21,101,0,2020-04-13
Hôpital Louis-H. Lafontaine,50,12,6,2,0,1,8,0,2020-04-13
Hôpital Santa Cabrini,79,38,30,8,2,25,76,0,2020-04-13
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,85,54,46,9,0,40,135,0,2020-04-13
Centre hospitalier de St. Mary,55,22,12,2,0,19,59,0,2020-04-13
Hôpital de LaSalle,67,15,10,1,0,9,35,0,2020-04-13
Hôpital Douglas,200,6,12,7,2,3,12,0,2020-04-13
Hôpital général du Lakeshore,65,31,20,2,0,11,70,0,2020-04-13
L'Hôpital général juif Sir Mortimer B. Davis,47,53,25,1,0,30,110,0,2020-04-13
Hôpital de Verdun,85,26,22,0,0,24,77,0,2020-04-13
Hôpital Notre-Dame,71,35,25,6,2,24,64,0,2020-04-13
Hôpital du Sacré-Coeur de Montréal,50,46,23,3,1,26,105,0,2020-04-13
Hôpital Fleury,50,18,9,0,0,17,57,0,2020-04-13
Hôpital Jean-Talon,45,22,10,0,0,18,53,0,2020-04-13
Pavillon Albert-Prévost,38,13,5,1,0,0,6,0,2020-04-13
Hôpital de Lachine,57,14,8,2,0,8,28,0,2020-04-13
Hôpital général de Montréal,35,31,11,1,0,22,55,0,2020-04-13
Hôpital Royal Victoria,79,33,26,3,1,19,65,1,2020-04-13
L'hôpital de Montréal pour enfants,25,12,3,0,0,2,56,0,2020-04-13
Institut de cardiologie de Montréal,27,22,6,1,0,2,32,0,2020-04-13
CHU Sainte-Justine,19,16,3,0,0,9,87,3,2020-04-14
Centre hospitalier de l'Université de Montréal,59,51,30,0,0,32,97,0,2020-04-14
Hôpital Louis-H. Lafontaine,50,12,6,2,0,3,11,0,2020-04-14
Hôpital Santa Cabrini,74,38,28,10,1,30,68,0,2020-04-14
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,109,54,59,13,3,48,131,0,2020-04-14
Centre hospitalier de St. Mary,73,22,16,1,0,12,54,0,2020-04-14
Hôpital de LaSalle,73,15,11,3,0,6,56,0,2020-04-14
Hôpital Douglas,150,6,9,0,0,0,11,0,2020-04-14
Hôpital général du Lakeshore,97,31,30,2,0,24,80,0,2020-04-14
L'Hôpital général juif Sir Mortimer B. Davis,36,53,19,0,0,28,105,1,2020-04-14
Hôpital de Verdun,115,26,30,0,0,27,90,0,2020-04-14
Hôpital Notre-Dame,80,35,28,5,3,35,77,0,2020-04-14
Hôpital du Sacré-Coeur de Montréal,57,46,26,5,1,27,119,0,2020-04-14
Hôpital Fleury,56,18,10,1,0,14,60,0,2020-04-14
Hôpital Jean-Talon,59,22,13,2,0,18,77,0,2020-04-14
Pavillon Albert-Prévost,23,13,3,0,0,2,9,0,2020-04-14
Hôpital de Lachine,57,14,8,0,0,9,35,0,2020-04-14
Hôpital général de Montréal,61,31,19,2,1,25,53,0,2020-04-14
Hôpital Royal Victoria,109,33,36,5,0,16,82,0,2020-04-14
L'hôpital de Montréal pour enfants,42,12,5,0,0,2,63,0,2020-04-14
Institut de cardiologie de Montréal,18,22,4,0,0,3,32,0,2020-04-14
CHU Sainte-Justine,25,16,4,0,0,5,84,4,2020-04-15
Centre hospitalier de l'Université de Montréal,49,51,25,2,0,34,113,0,2020-04-15
Hôpital Louis-H. Lafontaine,25,12,3,1,1,0,9,0,2020-04-15
Hôpital Santa Cabrini,103,38,39,10,3,37,65,0,2020-04-15
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,115,54,62,14,0,38,148,0,2020-04-15
Centre hospitalier de St. Mary,50,22,11,1,0,16,57,1,2020-04-15
Hôpital de LaSalle,47,15,7,1,0,8,51,0,2020-04-15
Hôpital Douglas,183,6,11,3,0,2,12,0,2020-04-15
Hôpital général du Lakeshore,74,31,23,1,0,19,75,0,2020-04-15
L'Hôpital général juif Sir Mortimer B. Davis,43,53,23,1,0,31,110,1,2020-04-15
Hôpital de Verdun,96,26,25,6,0,25,101,0,2020-04-15
Hôpital Notre-Dame,83,35,29,7,3,36,78,0,2020-04-15
Hôpital du Sacré-Coeur de Montréal,63,46,29,4,0,29,101,0,2020-04-15
Hôpital Fleury,94,18,17,0,0,19,56,0,2020-04-15
Hôpital Jean-Talon,77,22,17,2,0,19,69,0,2020-04-15
Pavillon Albert-Prévost,8,13,1,0,0,1,5,0,2020-04-15
Hôpital de Lachine,57,14,8,1,0,8,32,0,2020-04-15
Hôpital général de Montréal,58,31,18,0,0,27,57,1,2020-04-15
Hôpital Royal Victoria,115,33,38,4,0,21,94,1,2020-04-15
L'hôpital de Montréal pour enfants,42,12,5,0,0,6,60,0,2020-04-15
Institut de cardiologie de Montréal,45,22,10,1,0,2,40,0,2020-04-15
CHU Sainte-Justine,6,16,1,0,0,4,61,5,2020-04-16
Centre hospitalier de l'Université de Montréal,59,51,30,3,0,29,105,0,2020-04-16
Hôpital Louis-H. Lafontaine,25,12,3,2,0,2,10,0,2020-04-16
Hôpital Santa Cabrini,76,38,29,9,1,29,74,0,2020-04-16
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,131,54,71,19,0,43,134,0,2020-04-16
Centre hospitalier de St. Mary,82,22,18,0,0,21,67,0,2020-04-16
Hôpital de LaSalle,67,15,10,4,0,11,49,0,2020-04-16
Hôpital Douglas,133,6,8,4,1,0,8,0,2020-04-16
Hôpital général du Lakeshore,103,31,32,4,0,17,63,0,2020-04-16
L'Hôpital général juif Sir Mortimer B. Davis,34,53,18,0,0,33,133,1,2020-04-16
Hôpital de Verdun,108,26,28,1,0,26,80,0,2020-04-16
Hôpital Notre-Dame,83,35,29,9,3,35,83,0,2020-04-16
Hôpital du Sacré-Coeur de Montréal,54,46,25,6,1,24,91,0,2020-04-16
Hôpital Fleury,67,18,12,0,0,15,61,0,2020-04-16
Hôpital Jean-Talon,73,22,16,2,0,16,49,0,2020-04-16
Pavillon Albert-Prévost,15,13,2,0,0,1,9,0,2020-04-16
Hôpital de Lachine,71,14,10,2,0,6,25,0,2020-04-16
Hôpital général de Montréal,61,31,19,0,0,25,45,1,2020-04-16
Hôpital Royal Victoria,100,33,33,8,3,27,77,1,2020-04-16
L'hôpital de Montréal pour enfants,0,12,0,0,0,3,44,0,2020-04-16
Institut de cardiologie de Montréal,32,22,7,2,0,0,26,0,2020-04-16
CHU Sainte-Justine,6,16,1,0,0,2,72,4,2020-04-17
Centre hospitalier de l'Université de Montréal,33,51,17,1,0,24,93,0,2020-04-17
Hôpital Louis-H. Lafontaine,0,12,0,0,0,2,8,0,2020-04-17
Hôpital Santa Cabrini,105,38,40,8,4,41,83,0,2020-04-17
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,119,54,64,14,2,44,142,0,2020-04-17
Centre hospitalier de St. Mary,45,22,10,0,0,15,53,0,2020-04-17
Hôpital de LaSalle,53,15,8,0,0,11,44,0,2020-04-17
Hôpital Douglas,133,6,8,0,0,3,10,0,2020-04-17
Hôpital général du Lakeshore,97,31,30,2,1,18,71,0,2020-04-17
L'Hôpital général juif Sir Mortimer B. Davis,42,53,22,0,0,40,120,1,2020-04-17
Hôpital de Verdun,77,26,20,1,0,26,79,0,2020-04-17
Hôpital Notre-Dame,117,35,41,6,1,44,94,0,2020-04-17
Hôpital du Sacré-Coeur de Montréal,67,46,31,8,2,28,114,0,2020-04-17
